Sl. No.,Name,"Sub. Code & Sub. Code 
Number ",Eligibility,NTA Test paper code 
1,School of International Studies,"Politics (with specialization in
International Studies) – PISM
(201)","Bachelor’s degree in any discipline under 10+2+3
pattern of education with at least 50% marks.",HUQP18
2,School of International Studies,"International Relations and 
Area Studies – IRAM (234)","Bachelor’s degree in any discipline under 10+2+3
pattern of education with at least 50% marks.",HUQP18
3,School of International Studies,"Economics (with
specialization in World
Economy) – EILM (202)","(i) Bachelor’s degree (with 50% marks in aggregate )
in the following subjects: Economics (Honours) with
Mathematics as a subsidiary subject; o r
Mathematics (Honours) with Economics as a
subsidiary subject; or Statistics (Honours) with
Economics and Mathematics as subsidiary
subjects.
(ii) Any other Bachelor’s degree (with 60% marks in
aggregate) with courses in Microeconomics ,
Macroeconomics, Mathematical Economics and
Statistics.",COQP10
4,"Centre for Persian
and Central Asian
Studies (CPCAS)",Persian – PERM (203),"Bachelor’s degree in any discipline under 10+2+3 pattern of
education with at least 45% marks with adequate proficiency
in the concerned language.",LAQP30
5,"Centre for Persian
and Central Asian
Studies (CPCAS)",Pashto – PUSM (236),"Bachelor’s degree in any discipline under 10+2+3 pattern of
education with at least 45% marks with adequate proficiency
in the concerned language.",LAQP29
6,"Centre for Arabic and
African Studies (CA&AS)",Arabic – ARBM (204),"Bachelor’s degree in any discipline under 10+2+3 pattern of
education with at least 45% marks with adequate proficiency
in the concerned language.",LAQP05
7,"Centre for Japanese 
Studies (CJS)",Japanese – JAPM (205),"Bachelor’s degree in any discipline under 10+2+3 pattern of
education with at least 45% marks with adequate proficiency
in the concerned language.",LAQP15
8,"Centre for Korean
Studies (CKS)",Korean – KORM (206),"Bachelor’s degree in any discipline under 10+2+3 pattern of
education with at least 45% marks with adequate proficiency
in the concerned language.",LAQP20
9,"Centre for Chinese,
South East Asian
Studies (CCSEAS)",Chinese – CHNM (207),"Bachelor’s degree in any discipline under 10+2+3 pattern of
education with at least 45% marks with adequate proficiency
in the concerned language.",LAQP09
10,"Centre for French and
Francophone Studies
( CFFS)","French and
Francophone Studies –
FRNM (208)","Bachelor’s degree in any discipline under 10+2+3 pattern of
education with at least 45% marks with adequate proficiency
in the concerned language.",LAQP10
11,"Centre for German
Studies (CGS)","German Literature –
GRLM (209)","Bachelor’s degree in any discipline under 10+2+3 pattern of
education with at least 50% marks with adequate proficiency
in German.",LAQP12
12,"Centre for German
Studies (CGS)","German Translation –
GRTM (230)","Bachelor’s degree in any discipline under 10+2+3 pattern of
education with at least 50% marks with adequate proficiency
in German.",LAQP12
